Baseline value TVOC[HEX],Baseline value eCO2[HEX]
E9
96AA,92E8
96A9,92E8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
96BE,92EB
96CD,92FC
96CC,92FB
96CB,92FB
96CB,92FB
96CA,92FB
96CA,92FB
96C9,92FB
96C9,92FB
96C8,92FB
96C8,92FB
96C7,92FA
96C7,92FA
96C6,92FA
96C6,92FA
96C5,92FA
96C5,92FA
96C4,92F9
96C4,92F9
96C3,92F9
96C3,92F9
96C2,92F9
96C2,92F9
96C1,92F9
96C1,92F9
96C0,92F9
96C0,92F8
96BF,92F8
96BF,92F8
96BE,92F8
96BE,92F8
96BD,92F8
96BD,92F8
96BC,92F8
96BC,92F8
96BB,92F8
96BB,92F7
96BA,92F7
96B9,92F7
96BD,92F7
96BC,92F7
96C0,92F7
96BF,92F7
96BE,92F7
96BE,92F7
96C8,92FB
96D4,9301
96D3,9300
96D2,9300
96D2,9300
96D1,9300
96D1,9300
96D0,9300
96D0,9300
96CF,92FF
96CF,9306
