"b'x9879 \t 0x917E\r\n'"
"b'0x9878 \t 0x9182\r\n'"
"b'0x9878 \t 0x9181\r\n'"
"b'0x9877 \t 0x9181\r\n'"
"b'0x9877 \t 0x9180\r\n'"
"b'0x9876 \t 0x9184\r\n'"
"b'0x9877 \t 0x918B\r\n'"
"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'Baseline values\r\n'"
"b'eCO2:  \t TVOC: \r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x0 \t 0x0\r\n'"
"b'0x987C \t 0x91A1\r\n'"
"b'0x9896 \t 0x91A6\r\n'"
"b'0x9895 \t 0x91A5\r\n'"
"b'0x9894 \t 0x91AE\r\n'"
"b'0x9894 \t 0x91AD\r\n'"
"b'0x9894 \t 0x91AD\r\n'"
"b'0x9893 \t 0x91AD\r\n'"
"b'0x9892 \t 0x91B5\r\n'"
"b'0x9892 \t 0x91B4\r\n'"
"b'0x9893 \t 0x91BF\r\n'"
"b'0x9893 \t 0x91BE\r\n'"
"b'0x989A \t 0x91BE\r\n'"
"b'0x9899 \t 0x91BE\r\n'"
"b'0x98AF \t 0x91C7\r\n'"
"b'0x98AE \t 0x91C6\r\n'"
"b'0x98AD \t 0x91C6\r\n'"
"b'0x98AD \t 0x91C6\r\n'"
"b'0x98AC \t 0x91C6\r\n'"
"b'0x98AC \t 0x91C6\r\n'"
"b'0x98AB \t 0x91C6\r\n'"
"b'0x98AB \t 0x91CA\r\n'"
"b'0x98AA \t 0x91C9\r\n'"
"b'0x98AF \t 0x91CE\r\n'"
"b'0x98AE \t 0x91CD\r\n'"
"b'0x98AD \t 0x91CD\r\n'"
"b'0x98AD \t 0x91CD\r\n'"
"b'0x98AC \t 0x91CD\r\n'"
