Found SGP30 serial +ACM-0CA48A2,,
Time , TVOC (ppb) , eCO2 (ppm)
44,0,400
1093,0,400
2144,0,400
3194,0,400
4244,0,400
5295,0,400
6345,0,400
7396,0,400
8445,0,400
9496,0,400
10547,0,400
11597,0,400
12647,0,400
13698,0,400
14748,197,400
15799,189,400
16849,187,400
17899,188,400
18950,192,400
20000,183,400
21051,191,400
22102,187,400
23152,188,400
24203,190,400
25252,187,400
26303,186,400
27354,191,400
28404,192,400
29455,187,400
30505,190,400
31555,186,400
32606,189,400
33656,187,400
34707,183,400
35758,184,400
36808,190,400
37859,186,400
38908,187,400
39959,184,400
41010,183,400
42060,184,400
43111,185,400
44162,181,400
45211,181,400
46262,184,400
47312,182,400
48363,185,400
49414,181,400
50464,184,400
51515,180,400
52564,184,400
53615,176,400
54666,177,400
55716,176,400
56767,173,400
57818,172,400
58868,175,400
59918,172,400
60968,177,400
62019,175,400
63070,176,400
64120,173,400
65171,177,400
66221,169,400
67271,174,400
68322,175,400
69372,175,400
70423,174,400
71474,174,400
72524,170,400
73574,178,400
74625,172,400
75675,172,400
76726,168,400
77776,166,400
78827,173,400
79878,175,400
80927,170,400
81978,164,400
83028,164,400
84079,167,400
85130,168,400
86180,165,400
87231,167,400
88281,162,400
89331,171,400
90382,170,400
91432,169,400
92483,167,400
93534,172,400
94584,173,400
95634,168,400
96685,168,400
97735,168,400
98786,163,400
99836,166,400
100887,172,400
101938,166,400
102987,167,400
104038,166,400
105089,167,400
106139,163,400
107190,169,400
108240,161,400
109291,162,400
110342,165,400
111392,166,400
112442,162,400
113492,166,400
114543,166,400
115594,167,400
116644,165,400
117695,164,400
118746,162,400
119796,161,400
120847,158,400
121897,161,400
122947,153,400
123998,154,400
125048,157,400
126099,157,400
127150,150,400
128200,152,400
129251,154,400
130301,157,400
131352,159,400
132402,155,400
133452,155,400
134503,153,400
135554,156,400
136604,155,400
137655,153,400
138705,154,400
139756,157,400
140807,149,400
141857,149,400
142907,152,400
143958,153,400
145008,146,400
146059,153,400
147109,152,400
148160,148,400
149211,152,400
150261,153,400
151312,155,400
152361,150,400
153412,145,400
154463,144,400
155513,145,400
156564,146,400
157615,144,400
158665,137,400
159716,145,400
160766,145,400
161817,143,400
162867,141,400
163917,139,400
164968,141,400
166019,147,400
167069,145,400
168120,148,400
169170,145,400
170221,146,400
171272,142,400
172321,144,400
173372,143,400
174423,145,400
175473,146,400
176524,143,400
177574,141,400
178625,144,400
179676,142,400
180726,146,400
181777,141,400
182827,143,400
183877,145,400
184928,143,400
185978,146,400
187029,149,400
188080,149,400
189130,135,400
190181,147,400
191232,142,400
192282,144,400
193332,141,400
194382,142,400
195433,143,400
196484,142,400
197534,144,400
198585,142,400
199635,145,400
200686,144,400
201737,150,400
202786,147,400
203837,143,400
204888,143,400
205938,143,400
206989,145,400
208039,148,400
209090,149,400
210141,155,400
211191,149,400
212242,153,400
213292,153,400
214342,153,400
