Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,0,400
16,0,405
17,0,400
18,1,400
19,0,400
20,0,401
21,3,400
22,0,403
23,2,400
24,0,400
25,6,400
26,7,412
27,5,400
28,6,408
29,6,402
30,0,404
31,3,408
32,4,401
33,11,407
34,7,409
35,6,407
36,3,406
37,0,400
38,10,407
39,2,400
40,6,411
41,6,405
42,8,408
43,6,404
44,2,400
45,3,402
46,0,403
47,6,410
48,1,400
49,3,400
50,3,400
51,5,412
52,8,400
53,4,409
54,5,406
55,5,406
56,8,414
57,5,408
58,4,408
59,0,403
60,6,410
61,6,405
62,3,409
63,8,406
64,6,411
65,5,413
66,5,406
67,9,412
68,2,412
69,2,401
70,5,410
71,10,410
72,9,410
73,7,406
74,10,406
75,6,406
76,4,412
77,5,404
78,6,413
79,4,408
80,5,405
81,8,412
82,2,400
83,7,407
84,2,406
85,4,405
86,7,407
87,7,405
88,11,406
89,6,405
90,8,412
91,6,411
92,10,410
93,6,412
94,9,408
95,8,414
96,8,409
97,10,409
98,14,412
99,12,411
