Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,18,565
16,20,555
17,18,564
18,14,557
19,12,554
20,11,554
21,12,556
22,20,555
23,15,557
24,19,561
25,18,560
26,10,543
27,16,555
28,13,555
29,14,549
30,12,551
31,13,543
32,15,556
33,10,551
34,17,550
35,10,549
36,16,551
37,12,551
38,9,544
39,12,555
40,16,548
41,12,542
42,14,544
43,10,544
44,14,552
45,12,547
46,9,543
47,14,546
48,13,549
49,10,546
50,16,547
51,19,551
52,15,543
53,14,550
54,13,533
55,18,544
56,16,549
57,15,538
58,11,543
59,10,544
60,13,552
61,17,543
62,11,544
63,15,533
64,14,540
65,14,548
66,19,539
67,14,543
68,11,544
69,12,543
70,15,541
71,11,541
72,15,533
73,10,530
74,12,533
75,12,532
76,11,532
77,11,532
78,11,532
79,17,531
80,11,531
81,11,523
82,11,528
83,12,532
84,14,545
85,17,541
86,12,538
87,13,544
88,9,543
89,14,541
90,15,550
91,14,541
92,10,551
93,12,536
94,17,548
95,15,541
96,16,542
97,13,550
98,14,549
99,14,537
100,10,538
101,10,550
102,14,544
103,9,537
104,16,541
105,12,542
106,13,540
107,12,538
108,6,531
109,17,539
110,12,533
111,21,537
112,18,541
113,14,538
114,14,538
115,14,530
116,13,538
117,12,539
118,14,535
119,18,531
120,13,533
121,11,529
122,11,536
123,14,533
124,16,538
125,11,532
126,17,531
127,16,530
128,12,532
129,16,523
130,11,526
131,11,523
132,15,529
133,16,529
134,13,527
135,16,525
136,13,527
137,11,523
138,13,520
139,14,524
140,15,522
141,12,521
142,8,515
143,9,516
144,9,527
145,18,521
146,15,526
147,10,521
148,15,524
149,13,522
150,11,521
151,17,519
152,10,522
153,11,525
154,12,524
155,12,522
156,8,529
157,10,529
158,10,522
159,12,524
160,19,535
161,9,534
162,12,536
163,17,534
164,18,537
165,13,535
166,9,530
167,16,531
168,10,534
169,11,530
170,11,529
171,12,527
172,11,530
173,10,522
174,11,531
175,14,527
176,13,533
177,11,534
178,9,526
179,21,532
180,13,528
181,13,524
182,17,527
183,16,518
184,9,520
185,12,521
186,19,524
187,13,528
188,8,521
189,14,529
190,13,526
191,14,528
192,13,525
193,17,530
194,17,526
195,15,530
196,13,522
197,15,521
198,16,523
199,13,519
200,10,523
201,8,524
202,16,532
203,12,532
204,12,525
205,12,523
206,10,521
207,15,526
208,14,528
209,16,524
210,21,526
211,14,526
212,17,523
213,8,524
214,20,523
215,18,522
216,12,527
217,14,529
218,12,522
219,13,521
220,7,521
221,12,520
222,8,519
223,18,526
224,17,522
225,12,520
226,14,519
227,11,527
228,14,528
229,15,521
230,8,526
231,19,517
232,13,521
233,13,519
234,12,517
235,15,522
236,13,524
237,15,526
238,21,529
239,16,517
240,17,521
241,16,521
242,11,527
243,14,518
244,10,516
245,9,515
246,18,519
247,13,518
248,14,520
249,15,520
250,10,516
251,13,516
252,12,518
253,10,514
254,12,516
255,11,525
256,14,518
257,13,522
258,13,514
259,12,521
260,10,516
261,16,520
262,12,522
263,7,516
264,11,521
265,14,513
266,14,521
267,12,514
268,9,519
269,14,521
270,12,521
271,12,512
272,10,524
273,8,520
274,9,516
275,7,516
276,12,519
277,9,527
278,13,522
279,14,522
280,10,524
281,16,526
282,10,520
283,14,518
284,11,520
285,10,516
286,11,511
287,15,524
288,6,516
289,10,516
290,12,514
291,15,521
292,13,517
293,12,523
294,9,521
295,13,517
296,9,514
297,17,521
298,13,522
299,9,513
300,17,522
301,11,511
302,8,517
303,16,516
304,21,512
305,17,517
306,16,510
307,13,513
308,15,512
309,13,511
310,14,516
311,14,515
312,14,514
313,12,514
314,10,504
315,12,512
316,16,512
317,11,511
318,13,514
319,12,518
320,11,511
321,11,517
322,13,514
323,14,515
324,14,515
325,9,515
326,16,511
327,8,517
328,2,498
329,6,510
330,8,509
331,10,509
332,13,514
333,12,512
334,9,518
335,13,508
336,10,511
337,9,513
338,14,509
339,10,509
340,7,508
341,9,510
342,11,518
343,16,520
344,15,514
345,11,514
346,13,512
347,16,510
348,20,514
349,16,511
