Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,26,537
16,33,530
17,19,525
18,28,534
19,26,540
20,27,532
21,22,532
22,26,537
23,26,535
24,26,533
25,29,533
26,28,536
27,28,538
28,24,528
29,27,534
30,30,534
31,25,532
32,31,531
33,24,523
34,26,528
35,25,523
36,23,519
37,24,524
38,21,528
39,25,532
40,21,529
41,26,533
42,24,528
43,22,536
44,20,542
45,25,544
46,22,535
47,25,539
48,28,548
49,23,544
50,29,547
51,25,537
52,31,544
53,27,541
54,28,539
55,24,538
56,26,541
57,23,531
58,25,545
59,26,543
60,25,535
61,26,536
62,25,543
63,30,541
64,30,541
65,26,538
66,31,541
67,26,539
68,30,542
69,27,546
70,30,537
71,35,541
72,30,549
73,27,540
74,30,550
75,27,535
76,35,534
77,29,540
78,31,539
79,23,537
80,25,532
81,27,545
82,33,537
83,27,543
84,27,536
85,25,537
86,20,535
87,21,530
88,26,544
89,26,543
90,27,534
91,25,540
92,30,540
93,27,531
94,27,531
95,30,537
96,28,533
97,24,530
98,27,535
99,26,534
100,29,532
101,23,530
102,23,529
103,32,531
104,28,535
105,29,527
106,28,530
107,22,523
108,31,533
109,30,536
110,28,532
111,24,525
112,32,536
113,25,535
114,29,534
115,30,533
116,27,527
117,27,534
118,27,528
119,26,528
120,33,532
121,20,518
122,27,523
123,27,524
124,29,525
125,27,529
126,28,526
127,31,525
128,29,525
129,30,528
130,26,523
131,25,524
132,19,524
133,26,526
134,26,525
135,24,523
136,23,520
137,21,521
138,26,524
139,25,526
140,20,515
141,20,520
142,26,526
143,27,519
144,22,516
145,17,515
146,18,508
147,27,519
148,22,524
149,23,517
150,25,526
151,26,526
152,24,521
153,27,526
154,19,513
155,25,529
156,22,525
157,23,517
158,22,525
159,28,528
160,21,514
161,25,524
162,26,526
163,27,529
164,25,531
165,24,536
166,29,525
167,28,529
168,23,518
169,28,525
170,24,525
171,23,528
172,28,521
173,22,515
174,21,518
175,27,532
176,28,525
177,25,520
178,23,521
179,23,527
180,29,528
181,27,527
182,26,526
183,23,518
184,23,522
185,29,525
186,26,524
187,26,527
188,27,521
189,29,523
190,22,524
191,23,522
192,25,525
193,20,509
194,23,522
195,19,524
196,22,521
197,20,519
198,21,526
199,23,522
200,27,516
201,22,524
202,23,518
203,25,522
204,18,525
205,18,522
206,23,521
207,24,523
208,20,519
209,24,531
210,27,521
211,22,516
212,22,525
213,26,521
214,24,522
215,22,517
216,20,524
217,20,517
218,20,514
219,24,521
220,21,521
221,23,524
222,22,526
223,21,521
224,26,525
225,26,517
226,26,519
227,25,520
228,23,519
229,20,510
230,22,517
231,24,527
232,18,517
233,22,523
234,22,516
235,17,520
236,23,529
237,17,528
238,23,528
239,19,520
240,25,530
241,18,523
242,23,524
243,27,523
244,17,519
245,26,530
246,25,516
247,27,522
248,22,524
249,26,517
250,27,527
251,25,519
252,27,514
253,25,516
254,24,527
255,27,526
256,25,512
257,17,515
258,34,519
259,30,521
260,26,519
261,25,517
262,26,514
263,23,520
264,20,509
265,23,512
266,27,516
267,25,518
268,21,519
269,27,513
270,24,515
271,24,517
272,26,521
273,25,515
274,22,523
275,21,514
276,24,513
277,28,511
278,29,511
279,25,516
280,24,518
281,17,515
282,24,507
283,25,516
284,15,516
285,20,516
286,23,514
287,23,520
288,24,521
289,27,517
290,25,520
291,19,511
292,19,508
293,21,512
294,22,517
295,19,511
296,23,511
297,25,511
298,26,517
299,20,505
300,18,514
301,20,508
302,25,518
303,27,511
304,23,515
305,14,508
306,22,515
307,18,512
308,23,510
309,22,516
310,22,513
311,22,508
312,22,511
313,20,513
314,22,511
315,23,510
316,24,521
317,22,511
318,24,512
319,20,510
320,16,506
321,24,511
322,24,519
323,19,509
324,21,513
325,20,515
326,17,505
327,19,507
328,20,511
329,22,505
330,23,514
331,22,512
332,17,513
333,21,515
334,21,511
335,20,511
336,19,512
337,21,514
338,23,510
339,17,509
340,21,510
341,19,505
342,16,506
343,21,511
344,26,518
345,21,513
346,18,511
347,21,516
348,22,515
349,22,518
