Sample,Time,TVOC,eCO2
1,44,0,400
2,1093,0,400
3,2144,0,400
4,3194,0,400
5,4244,0,400
6,5295,0,400
7,6345,0,400
8,7395,0,400
9,8445,0,400
10,9496,0,400
11,10547,0,400
12,11596,0,400
13,12647,0,400
14,13698,0,400
15,14748,152,806
16,15798,153,802
17,16848,156,795
18,17899,154,796
19,18950,146,786
20,20000,150,778
21,21051,150,779
22,22102,154,781
23,23151,145,773
24,24202,152,773
25,25252,150,763
26,26303,150,771
27,27354,149,763
28,28404,147,758
29,29454,149,754
30,30504,146,745
31,31555,141,747
32,32606,145,747
33,33656,147,748
34,34707,140,745
35,35757,148,741
36,36807,144,747
37,37858,136,738
38,38908,142,735
39,39959,139,741
40,41010,140,740
41,42060,139,734
42,43110,139,727
43,44161,141,737
44,45211,139,738
45,46262,139,732
46,47312,138,736
47,48363,141,737
48,49413,137,734
49,50463,132,733
50,51514,142,735
