"b'27353\t  122\t  510\n'"
"b'28403\t  120\t  501\n'"
"b'29454\t  121\t  508\n'"
"b'30504\t  118\t  501\n'"
"b'31555\t  120\t  504\n'"
"b'32605\t  121\t  505\n'"
"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44\t  0\t  400\n'"
"b'1093\t  0\t  400\n'"
"b'2144\t  0\t  400\n'"
"b'3194\t  0\t  400\n'"
"b'4244\t  0\t  400\n'"
"b'5295\t  0\t  400\n'"
"b'6345\t  0\t  400\n'"
"b'7395\t  0\t  400\n'"
"b'8445\t  0\t  400\n'"
"b'9496\t  0\t  400\n'"
"b'10546\t  0\t  400\n'"
"b'11596\t  0\t  400\n'"
"b'12647\t  0\t  400\n'"
"b'13698\t  0\t  400\n'"
"b'14747\t  124\t  509\n'"
"b'15798\t  118\t  504\n'"
"b'16848\t  125\t  508\n'"
"b'17899\t  119\t  500\n'"
"b'18950\t  124\t  501\n'"
"b'20000\t  121\t  509\n'"
"b'21050\t  119\t  501\n'"
"b'22100\t  125\t  503\n'"
"b'23151\t  120\t  510\n'"
"b'24202\t  120\t  506\n'"
"b'25252\t  124\t  504\n'"
"b'26303\t  124\t  503\n'"
"b'27353\t  117\t  506\n'"
"b'28403\t  121\t  504\n'"
"b'29454\t  124\t  497\n'"
"b'30504\t  120\t  505\n'"
"b'31555\t  125\t  505\n'"
"b'32606\t  122\t  509\n'"
"b'33655\t  120\t  502\n'"
"b'34706\t  117\t  504\n'"
"b'35757\t  122\t  502\n'"
"b'36807\t  120\t  505\n'"
"b'37858\t  119\t  503\n'"
"b'38907\t  124\t  514\n'"
"b'39958\t  120\t  497\n'"
"b'41009\t  121\t  500\n'"
"b'42059\t  120\t  495\n'"
"b'43110\t  113\t  486\n'"
"b'44161\t  113\t  489\n'"
"b'45210\t  117\t  483\n'"
"b'46261\t  120\t  493\n'"
"b'47311\t  116\t  493\n'"
"b'48362\t  120\t  497\n'"
"b'49413\t  118\t  494\n'"
"b'50463\t  116\t  489\n'"
"b'51513\t  119\t  494\n'"
"b'52563\t  120\t  505\n'"
"b'53614\t  116\t  499\n'"
"b'54665\t  116\t  491\n'"
"b'55715\t  118\t  500\n'"
"b'56766\t  119\t  495\n'"
"b'57816\t  119\t  490\n'"
"b'58866\t  118\t  495\n'"
"b'59917\t  117\t  489\n'"
"b'60967\t  116\t  491\n'"
"b'62018\t  121\t  502\n'"
"b'63069\t  115\t  491\n'"
"b'64118\t  122\t  496\n'"
"b'65169\t  117\t  498\n'"
"b'66220\t  120\t  503\n'"
"b'67270\t  122\t  503\n'"
"b'68321\t  119\t  503\n'"
"b'69371\t  120\t  507\n'"
"b'70421\t  117\t  501\n'"
"b'71472\t  121\t  506\n'"
"b'72522\t  121\t  503\n'"
"b'73573\t  125\t  516\n'"
"b'74624\t  113\t  507\n'"
"b'75674\t  116\t  507\n'"
"b'76724\t  117\t  514\n'"
"b'77774\t  113\t  512\n'"
"b'78825\t  116\t  511\n'"
"b'79876\t  114\t  516\n'"
"b'80926\t  118\t  517\n'"
"b'81977\t  114\t  518\n'"
"b'83026\t  121\t  524\n'"
"b'84077\t  117\t  521\n'"
"b'85128\t  118\t  520\n'"
"b'86178\t  120\t  517\n'"
"b'87229\t  118\t  518\n'"
"b'88280\t  117\t  516\n'"
"b'89329\t  117\t  521\n'"
