"b'18\t  508\n'"
"b'101935\t  115\t  508\n'"
"b'102985\t  122\t  514\n'"
"b'104036\t  114\t  511\n'"
"b'105086\t  118\t  514\n'"
"b'106137\t  117\t  516\n'"
"b'107188\t  125\t  525\n'"
"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44\t  0\t  400\n'"
"b'1093\t  0\t  400\n'"
"b'2144\t  0\t  400\n'"
"b'3194\t  0\t  400\n'"
"b'4244\t  0\t  400\n'"
"b'5295\t  0\t  400\n'"
"b'6345\t  0\t  400\n'"
"b'7395\t  0\t  400\n'"
"b'8445\t  0\t  400\n'"
"b'9496\t  0\t  400\n'"
"b'10546\t  0\t  400\n'"
"b'11596\t  0\t  400\n'"
"b'12647\t  0\t  400\n'"
"b'13698\t  0\t  400\n'"
"b'14747\t  118\t  528\n'"
"b'15798\t  122\t  527\n'"
"b'16848\t  121\t  532\n'"
"b'17899\t  118\t  523\n'"
"b'18950\t  117\t  529\n'"
"b'20000\t  123\t  530\n'"
"b'21050\t  119\t  523\n'"
"b'22100\t  115\t  530\n'"
"b'23151\t  123\t  522\n'"
"b'24202\t  115\t  526\n'"
"b'25252\t  119\t  523\n'"
"b'26303\t  119\t  526\n'"
"b'27353\t  124\t  524\n'"
"b'28403\t  120\t  527\n'"
"b'29454\t  117\t  525\n'"
"b'30504\t  124\t  529\n'"
"b'31555\t  121\t  526\n'"
"b'32606\t  119\t  521\n'"
"b'33655\t  125\t  533\n'"
"b'34706\t  117\t  523\n'"
"b'35757\t  121\t  519\n'"
"b'36807\t  119\t  520\n'"
"b'37858\t  121\t  523\n'"
"b'38908\t  121\t  524\n'"
"b'39958\t  122\t  529\n'"
"b'41009\t  122\t  528\n'"
"b'42059\t  121\t  527\n'"
"b'43110\t  121\t  523\n'"
"b'44161\t  117\t  524\n'"
"b'45211\t  121\t  532\n'"
"b'46261\t  119\t  529\n'"
"b'47311\t  122\t  527\n'"
"b'48362\t  117\t  530\n'"
"b'49413\t  118\t  526\n'"
"b'50463\t  126\t  530\n'"
"b'51514\t  119\t  523\n'"
"b'52563\t  120\t  524\n'"
"b'53614\t  123\t  526\n'"
"b'54665\t  120\t  525\n'"
"b'55715\t  117\t  516\n'"
"b'56766\t  122\t  524\n'"
"b'57817\t  112\t  522\n'"
"b'58866\t  119\t  517\n'"
"b'59917\t  116\t  519\n'"
"b'60967\t  122\t  525\n'"
"b'62018\t  119\t  521\n'"
"b'63069\t  124\t  525\n'"
"b'64118\t  118\t  512\n'"
"b'65169\t  123\t  516\n'"
"b'66220\t  120\t  517\n'"
"b'67270\t  121\t  515\n'"
"b'68321\t  118\t  514\n'"
"b'69371\t  114\t  514\n'"
"b'70421\t  114\t  519\n'"
"b'71472\t  118\t  518\n'"
"b'72522\t  122\t  515\n'"
"b'73573\t  117\t  510\n'"
"b'74624\t  120\t  515\n'"
"b'75674\t  118\t  514\n'"
"b'76725\t  120\t  515\n'"
"b'77774\t  119\t  521\n'"
"b'78825\t  118\t  512\n'"
"b'79876\t  124\t  515\n'"
"b'80926\t  114\t  510\n'"
"b'81977\t  117\t  505\n'"
"b'83027\t  119\t  509\n'"
"b'84077\t  117\t  503\n'"
"b'85128\t  113\t  504\n'"
"b'86178\t  118\t  512\n'"
"b'87229\t  120\t  518\n'"
"b'88280\t  116\t  510\n'"
"b'89330\t  117\t  505\n'"
