"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'-44-0-400- \n'"
"b'-1093-0-400- \n'"
"b'-2144-0-400- \n'"
"b'-3194-0-400- \n'"
"b'-4244-0-400- \n'"
"b'-5295-0-400- \n'"
"b'-6345-0-400- \n'"
"b'-7395-0-400- \n'"
"b'-8445-0-400- \n'"
"b'-9496-0-400- \n'"
"b'-10546-0-400- \n'"
"b'-11596-0-400- \n'"
"b'-12647-0-400- \n'"
"b'-13698-0-400- \n'"
"b'-14747-132-552- \n'"
"b'-15798-126-554- \n'"
"b'-16848-130-557- \n'"
"b'-17899-128-557- \n'"
"b'-18950-132-565- \n'"
"b'-20000-123-563- \n'"
"b'-21050-127-565- \n'"
"b'-22100-129-570- \n'"
"b'-23151-127-581- \n'"
"b'-24202-137-577- \n'"
"b'-25252-134-585- \n'"
"b'-26303-133-583- \n'"
"b'-27353-134-578- \n'"
"b'-28403-129-579- \n'"
"b'-29454-134-568- \n'"
"b'-30504-129-576- \n'"
"b'-31555-134-574- \n'"
"b'-32606-131-574- \n'"
"b'-33655-134-570- \n'"
"b'-34706-130-575- \n'"
"b'-35757-131-571- \n'"
"b'-36807-128-567- \n'"
"b'-37858-132-565- \n'"
"b'-38907-131-563- \n'"
"b'-39958-130-566- \n'"
"b'-41009-131-568- \n'"
"b'-42059-129-554- \n'"
"b'-43110-134-559- \n'"
"b'-44161-124-552- \n'"
"b'-45210-128-558- \n'"
"b'-46261-137-564- \n'"
"b'-47311-129-552- \n'"
"b'-48362-126-552- \n'"
"b'-49413-124-556- \n'"
"b'-50463-128-548- \n'"
"b'-51513-126-554- \n'"
"b'-52563-127-556- \n'"
"b'-53614-130-560- \n'"
"b'-54665-128-551- \n'"
"b'-55715-129-550- \n'"
"b'-56766-130-553- \n'"
"b'-57816-127-557- \n'"
"b'-58866-126-548- \n'"
"b'-59917-132-557- \n'"
"b'-60967-121-543- \n'"
"b'-62018-124-548- \n'"
"b'-63068-122-555- \n'"
"b'-64118-127-567- \n'"
"b'-65169-129-555- \n'"
"b'-66220-129-563- \n'"
"b'-67270-128-568- \n'"
"b'-68321-128-568- \n'"
"b'-69370-121-554- \n'"
"b'-70421-127-562- \n'"
"b'-71472-120-563- \n'"
"b'-72522-124-564- \n'"
"b'-73573-131-563- \n'"
"b'-74624-125-556- \n'"
"b'-75673-126-556- \n'"
"b'-76724-130-560- \n'"
"b'-77774-131-557- \n'"
"b'-78825-133-554- \n'"
"b'-79876-124-549- \n'"
"b'-80926-127-553- \n'"
"b'-81976-130-550- \n'"
"b'-83026-126-554- \n'"
"b'-84077-127-547- \n'"
"b'-85128-123-552- \n'"
"b'-86178-126-546- \n'"
"b'-87229-126-550- \n'"
"b'-88279-125-549- \n'"
"b'-89329-128-551- \n'"
"b'-90380-122-543- \n'"
"b'-91430-124-547- \n'"
"b'-92481-123-543- \n'"
"b'-93532-124-556- \n'"
"b'-94581-126-552- \n'"
"b'-95632-134-550- \n'"
"b'-96683-123-548- \n'"
"b'-97733-129-543- \n'"
"b'-98784-123-542- \n'"
"b'-99834-127-544- \n'"
"b'-100884-127-542- \n'"
"b'-101935-123-540- \n'"
"b'-102985-127-547- \n'"
"b'-104036-123-540- \n'"
"b'-105086-132-543- \n'"
"b'-106137-128-539- \n'"
"b'-107188-131-535- \n'"
"b'-108237-125-540- \n'"
"b'-109288-124-540- \n'"
"b'-110339-118-539- \n'"
"b'-111389-124-537- \n'"
"b'-112440-126-554- \n'"
"b'-113490-124-552- \n'"
"b'-114541-126-553- \n'"
"b'-115592-128-557- \n'"
"b'-116641-120-546- \n'"
"b'-117692-126-545- \n'"
"b'-118743-126-558- \n'"
"b'-119793-126-554- \n'"
"b'-120844-130-555- \n'"
"b'-121894-123-548- \n'"
"b'-122945-122-546- \n'"
"b'-123996-128-553- \n'"
"b'-125045-124-557- \n'"
"b'-126096-122-550- \n'"
"b'-127147-127-561- \n'"
"b'-128197-132-560- \n'"
"b'-129248-128-556- \n'"
"b'-130298-124-560- \n'"
"b'-131349-128-562- \n'"
"b'-132400-130-553- \n'"
"b'-133449-132-558- \n'"
"b'-134500-124-552- \n'"
"b'-135550-131-554- \n'"
"b'-136601-129-548- \n'"
"b'-137652-131-546- \n'"
"b'-138702-129-553- \n'"
"b'-139753-126-550- \n'"
"b'-140804-129-549- \n'"
"b'-141853-127-556- \n'"
"b'-142904-126-551- \n'"
"b'-143954-124-538- \n'"
"b'-145005-128-540- \n'"
"b'-146056-122-543- \n'"
