"b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44 \t 0 \t 400 \n'"
"b' 1093 \t 0 \t 400 \n'"
"b' 2144 \t 0 \t 400 \n'"
"b' 3194 \t 0 \t 400 \n'"
"b' 4244 \t 0 \t 400 \n'"
"b' 5295 \t 0 \t 400 \n'"
"b' 6345 \t 0 \t 400 \n'"
"b' 7395 \t 0 \t 400 \n'"
"b' 8445 \t 0 \t 400 \n'"
"b' 9496 \t 0 \t 400 \n'"
"b' 10547 \t 0 \t 400 \n'"
"b' 11596 \t 0 \t 400 \n'"
"b' 12647 \t 0 \t 400 \n'"
"b' 13698 \t 0 \t 400 \n'"
"b' 14748 \t 84 \t 587 \n'"
"b' 15798 \t 87 \t 584 \n'"
"b' 16848 \t 89 \t 583 \n'"
"b' 17899 \t 87 \t 584 \n'"
"b' 18950 \t 90 \t 585 \n'"
"b' 20000 \t 87 \t 584 \n'"
"b' 21050 \t 86 \t 576 \n'"
"b' 22100 \t 90 \t 584 \n'"
"b' 23151 \t 87 \t 576 \n'"
"b' 24202 \t 88 \t 573 \n'"
"b' 25252 \t 91 \t 582 \n'"
"b' 26302 \t 84 \t 576 \n'"
"b' 27353 \t 86 \t 575 \n'"
"b' 28403 \t 90 \t 576 \n'"
"b' 29454 \t 86 \t 572 \n'"
"b' 30504 \t 88 \t 576 \n'"
"b' 31554 \t 86 \t 563 \n'"
"b' 32605 \t 84 \t 567 \n'"
"b' 33655 \t 86 \t 564 \n'"
"b' 34706 \t 87 \t 573 \n'"
"b' 35757 \t 84 \t 573 \n'"
"b' 36806 \t 85 \t 569 \n'"
"b' 37857 \t 91 \t 574 \n'"
"b' 38907 \t 83 \t 571 \n'"
"b' 39958 \t 83 \t 568 \n'"
"b' 41009 \t 85 \t 562 \n'"
"b' 42058 \t 83 \t 570 \n'"
"b' 43109 \t 84 \t 569 \n'"
"b' 44160 \t 85 \t 563 \n'"
"b' 45210 \t 85 \t 570 \n'"
"b' 46261 \t 82 \t 565 \n'"
"b' 47311 \t 80 \t 557 \n'"
"b' 48361 \t 78 \t 561 \n'"
"b' 49412 \t 82 \t 568 \n'"
"b' 50462 \t 81 \t 561 \n'"
"b' 51513 \t 86 \t 567 \n'"
"b' 52563 \t 87 \t 574 \n'"
"b' 53613 \t 82 \t 568 \n'"
"b' 54664 \t 84 \t 567 \n'"
"b' 55714 \t 86 \t 566 \n'"
"b' 56765 \t 87 \t 567 \n'"
"b' 57816 \t 87 \t 562 \n'"
"b' 58865 \t 84 \t 555 \n'"
"b' 59916 \t 83 \t 562 \n'"
"b' 60966 \t 82 \t 559 \n'"
"b' 62017 \t 83 \t 554 \n'"
"b' 63068 \t 83 \t 559 \n'"
"b' 64117 \t 83 \t 555 \n'"
"b' 65168 \t 81 \t 561 \n'"
"b' 66219 \t 88 \t 568 \n'"
"b' 67269 \t 80 \t 566 \n'"
"b' 68320 \t 85 \t 576 \n'"
"b' 69369 \t 81 \t 570 \n'"
"b' 70420 \t 88 \t 574 \n'"
"b' 71471 \t 87 \t 564 \n'"
