Sample,TVOC,eCO2
"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44 \t 0 \t 400 \n'"
"b' 1093 \t 0 \t 400 \n'"
"b' 2144 \t 0 \t 400 \n'"
"b' 3194 \t 0 \t 400 \n'"
"b' 4244 \t 0 \t 400 \n'"
"b' 5295 \t 0 \t 400 \n'"
"b' 6345 \t 0 \t 400 \n'"
"b' 7395 \t 0 \t 400 \n'"
"b' 8445 \t 0 \t 400 \n'"
"b' 9496 \t 0 \t 400 \n'"
"b' 10547 \t 0 \t 400 \n'"
"b' 11596 \t 0 \t 400 \n'"
"b' 12647 \t 0 \t 400 \n'"
"b' 13698 \t 0 \t 400 \n'"
"b' 14748 \t 92 \t 551 \n'"
"b' 15798 \t 92 \t 559 \n'"
"b' 16848 \t 90 \t 553 \n'"
"b' 17899 \t 91 \t 557 \n'"
"b' 18950 \t 92 \t 558 \n'"
"b' 20000 \t 92 \t 547 \n'"
"b' 21050 \t 96 \t 552 \n'"
"b' 22100 \t 90 \t 559 \n'"
"b' 23151 \t 90 \t 551 \n'"
"b' 24202 \t 91 \t 559 \n'"
"b' 25252 \t 89 \t 554 \n'"
"b' 26302 \t 87 \t 548 \n'"
"b' 27353 \t 91 \t 559 \n'"
"b' 28403 \t 82 \t 547 \n'"
"b' 29454 \t 90 \t 555 \n'"
"b' 30504 \t 94 \t 558 \n'"
"b' 31554 \t 95 \t 554 \n'"
"b' 32605 \t 94 \t 557 \n'"
"b' 33655 \t 87 \t 556 \n'"
"b' 34706 \t 91 \t 555 \n'"
"b' 35757 \t 88 \t 552 \n'"
"b' 36806 \t 95 \t 561 \n'"
"b' 37857 \t 98 \t 555 \n'"
"b' 38907 \t 94 \t 558 \n'"
"b' 39958 \t 91 \t 550 \n'"
