Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,61,400
16,73,400
17,69,400
18,73,400
19,76,400
20,71,400
21,73,400
22,64,400
23,72,400
24,75,400
25,69,400
26,74,400
27,64,400
28,72,400
29,73,400
30,65,400
31,67,400
32,66,400
33,70,400
34,66,400
35,72,400
36,72,400
37,68,400
38,70,400
39,69,400
40,70,400
41,67,400
42,71,400
43,69,400
44,68,400
45,66,400
46,68,400
47,71,400
48,74,400
49,72,400
50,76,400
51,69,400
52,69,400
53,68,400
54,72,400
55,67,400
56,67,400
57,71,400
58,68,400
59,67,400
60,76,400
61,70,400
62,65,400
63,68,400
64,66,400
65,70,400
66,71,400
67,73,400
68,77,400
69,66,400
70,71,400
71,73,400
72,66,400
73,70,400
74,64,400
75,68,400
76,71,400
77,70,400
78,74,400
79,69,400
80,73,400
81,66,400
82,69,400
83,67,400
84,69,400
85,71,400
86,71,400
87,68,400
88,65,400
89,60,400
90,69,400
91,67,400
92,65,400
93,68,400
94,74,400
95,66,400
96,71,400
97,71,400
98,67,400
99,70,400
100,69,400
101,70,400
102,68,400
103,66,400
104,74,400
105,72,400
106,68,400
107,69,400
108,65,400
109,69,400
110,61,400
111,67,400
112,70,400
113,68,400
114,74,400
115,61,400
116,69,400
117,63,400
118,65,400
119,64,400
120,70,400
121,67,400
122,67,400
123,72,400
124,77,400
125,68,400
126,68,400
127,65,400
128,65,400
129,68,400
130,68,400
131,69,400
132,71,400
133,65,400
134,70,400
135,67,400
136,69,400
137,71,400
138,68,400
139,71,400
140,68,400
141,68,400
142,65,400
143,71,400
144,62,400
145,68,400
146,69,400
147,69,400
148,67,400
149,69,400
150,72,400
151,67,400
152,67,400
153,72,400
154,66,400
155,70,400
156,67,400
157,65,400
158,62,400
159,69,400
160,71,400
161,69,400
162,68,400
163,67,400
164,70,400
165,69,400
166,66,400
167,67,400
168,63,400
169,70,400
170,66,400
171,72,400
172,67,400
173,63,400
174,65,400
175,69,400
176,66,400
177,68,400
178,72,400
179,73,400
180,70,400
181,67,400
182,69,400
183,61,400
184,70,400
185,67,400
186,68,400
187,65,400
188,70,400
189,59,400
190,71,400
191,68,400
192,66,400
193,67,400
194,67,400
195,63,400
196,71,400
197,68,400
198,69,400
199,67,400
200,68,400
201,66,400
202,73,400
203,68,400
204,65,400
205,66,400
206,71,400
207,70,400
208,69,400
209,73,400
210,66,400
211,68,400
212,67,400
213,70,400
214,63,400
215,73,400
216,69,400
217,69,400
218,70,400
219,67,400
220,66,400
221,71,400
222,66,400
223,65,400
224,65,400
225,64,400
226,62,400
227,71,400
228,61,400
229,70,400
230,67,400
231,70,400
232,63,400
233,63,400
234,68,400
235,66,400
236,70,400
237,70,400
238,63,400
239,68,400
240,65,400
241,65,400
242,66,400
243,64,400
244,70,400
245,62,400
246,67,400
247,65,400
248,67,400
249,69,400
250,66,400
251,68,400
252,68,400
253,63,400
254,65,400
255,68,400
256,65,400
257,65,400
258,67,400
259,64,400
260,64,400
261,68,400
262,66,400
263,63,400
264,64,400
265,69,400
266,64,400
267,60,400
268,68,400
269,65,400
270,67,400
271,66,400
272,66,400
273,64,400
274,71,400
275,65,400
276,65,400
277,68,400
278,69,400
279,64,400
280,64,400
281,62,400
282,70,400
283,71,400
284,65,400
285,68,400
286,63,400
287,65,400
288,65,400
289,66,400
290,65,400
291,66,400
292,65,400
293,65,400
294,67,400
295,70,400
296,71,400
297,67,400
298,66,400
299,68,400
300,65,400
301,64,400
302,66,400
303,63,400
304,62,400
305,70,400
306,64,400
307,68,400
308,71,400
309,68,400
310,70,400
311,66,400
312,66,400
313,66,400
314,63,400
315,62,400
316,66,400
317,62,400
318,67,400
319,67,400
320,65,400
321,67,400
322,67,400
323,63,400
324,62,400
325,65,400
326,66,400
327,64,400
328,67,400
329,66,400
330,65,400
331,66,400
332,64,400
333,66,400
334,59,400
335,66,400
336,70,400
337,67,400
338,67,400
339,64,400
340,67,400
341,62,400
342,67,400
343,66,400
344,68,400
345,67,400
346,63,400
347,69,400
348,68,400
349,68,400
