Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,9085,8950
16,9074,8985
17,8950,8939
18,8770,8939
19,8758,8667
20,8297,8331
21,8151,8058
22,7948,7862
23,7937,7694
24,7689,7589
25,7588,7375
26,7486,7167
27,7115,7149
28,7160,6975
29,7020,6825
30,6975,6732
31,6945,6692
32,7030,6860
33,7060,7086
34,7250,7294
35,7363,7381
36,7228,7502
37,7318,7358
38,6940,6923
39,6829,6541
40,6764,6501
41,6769,6553
42,6874,6582
43,6895,6796
44,6930,6865
45,6869,6715
46,6789,6582
47,6724,6396
48,6634,6298
49,6553,6089
50,6528,5962
51,6433,5927
52,6443,5962
53,6443,5950
54,6518,6026
55,6513,6205
56,6624,6367
57,6533,6419
58,6548,6257
59,6383,6020
60,6293,5620
61,6217,5464
62,6127,5186
63,5997,4989
64,5947,4884
65,5766,4724
66,5796,4734
67,5691,4761
68,5741,4776
69,5751,4759
70,5671,4705
71,5520,4653
72,5631,4693
73,5721,4798
74,5776,4891
75,5902,5140
76,6017,5308
77,6052,5394
78,6017,5435
79,5891,5186
80,5756,4908
81,5606,4801
82,5455,4717
83,5530,4668
84,5395,4658
85,5340,4656
86,5425,4597
87,5350,4582
88,5320,4580
89,5350,4616
90,5360,4629
91,5335,4646
92,5425,4715
93,5435,4742
94,5410,4788
95,5470,4801
96,5445,4766
97,5415,4744
98,5410,4793
99,5460,4774
100,5410,4830
101,5520,4813
102,5505,4769
103,5475,4778
104,5300,4695
105,5245,4663
106,5265,4582
107,5154,4553
108,5074,4484
109,5039,4420
110,4974,4405
111,4939,4325
112,4768,4219
113,4818,4172
114,4718,4140
115,4678,4140
116,4628,4138
117,4658,4155
118,4763,4177
119,4673,4167
120,4643,4123
121,4593,4084
122,4517,4057
123,4382,3961
124,4437,3890
125,4232,3795
126,4186,3768
127,4232,3817
128,4267,3863
129,4317,3917
130,4292,3851
131,4111,3763
132,4021,3682
133,4041,3664
134,3966,3655
135,4051,3669
136,4141,3770
137,4101,3853
138,4237,3932
139,4312,3947
140,4242,3986
141,4307,4096
142,4432,4180
143,4467,4234
144,4502,4275
145,4593,4271
146,4492,4307
147,4588,4337
148,4522,4327
149,4648,4374
150,4578,4349
151,4562,4388
152,4663,4405
153,4673,4396
154,4688,4435
155,4658,4432
156,4713,4455
157,4778,4440
158,4703,4430
159,4723,4437
160,4583,4452
161,4628,4396
162,4723,4425
163,4648,4383
164,4663,4401
165,4643,4396
166,4618,4378
167,4547,4327
168,4532,4302
169,4377,4185
170,4327,4069
171,4051,3956
172,4041,3814
173,3901,3667
174,3805,3625
175,3735,3529
176,3675,3500
177,3645,3505
178,3660,3527
179,3595,3547
180,3730,3579
181,3720,3547
182,3750,3610
183,3825,3672
184,3885,3775
185,3906,3782
186,3981,3763
187,3890,3826
188,3916,3792
189,3911,3836
190,3890,3890
191,4006,3893
192,3961,3917
193,4006,3947
194,4021,3922
195,3870,3844
196,3875,3763
197,3705,3748
198,3635,3706
199,3745,3733
200,3710,3706
201,3690,3696
202,3675,3581
203,3549,3453
204,3474,3412
205,3349,3350
206,3329,3365
207,3404,3390
208,3439,3468
209,3354,3390
210,3349,3304
211,3153,3240
212,3088,3144
213,3045,3125
214,3020,3068
215,3027,3051
216,3015,3024
217,2983,3012
218,2944,2955
219,3013,3009
220,2992,3105
221,3041,3166
222,3048,3201
223,3088,3193
224,3066,3201
225,3153,3220
226,3041,3213
227,3045,3220
228,3113,3215
229,3031,3149
230,2951,3105
231,2997,3090
232,2960,3053
233,2955,3053
234,2898,2980
235,2916,3041
236,2918,3019
237,2981,3029
238,2921,3039
239,2911,3009
240,2851,2982
241,2870,2860
242,2787,2779
243,2791,2771
244,2805,2798
245,2835,2818
246,2812,2864
247,2868,2889
248,2856,2948
249,2851,2965
250,2861,2970
251,2819,2936
252,2801,2894
253,2794,2823
254,2761,2818
255,2757,2744
256,2743,2791
257,2764,2838
258,2803,2894
259,2791,2916
260,2824,2931
261,2787,2931
262,2791,2958
263,2798,2933
264,2824,3009
265,2826,3036
266,2849,3034
267,2849,3071
268,2826,3093
269,2844,3083
270,2849,3095
271,2858,3100
272,2819,3080
273,2886,3080
274,2872,3130
275,2886,3154
276,2898,3152
277,2909,3188
278,2898,3166
279,2861,3166
280,2895,3161
281,2891,3183
282,2898,3230
283,2879,3137
284,2858,3144
285,2895,3206
286,2872,3169
287,2858,3201
288,2891,3196
289,2888,3203
290,2893,3235
291,2872,3208
292,2872,3223
293,2875,3233
294,2895,3213
295,2872,3250
296,2881,3277
297,2865,3220
298,2865,3242
299,2854,3237
300,2872,3247
301,2872,3267
302,2851,3220
303,2835,3176
304,2808,3085
305,2750,3017
306,2697,2901
307,2683,2877
308,2674,2793
309,2595,2717
310,2551,2599
311,2507,2509
312,2473,2467
313,2420,2379
314,2436,2359
315,2364,2288
316,2385,2293
317,2380,2273
318,2348,2273
319,2337,2268
320,2353,2241
321,2353,2227
322,2277,2180
323,2263,2099
324,2203,2067
325,2191,2038
326,2154,2018
327,2168,2013
328,2161,2023
329,2127,2011
330,2124,1987
331,2136,1985
332,2085,1986
333,2120,2014
334,2120,2030
335,2127,2012
336,2067,1989
337,2055,1944
338,2016,1937
339,1990,1926
340,1993,1929
341,2018,1956
342,2039,1990
343,1988,1965
344,2025,1985
345,2099,2015
346,2117,2042
347,2108,2054
348,2147,2126
349,2184,2153
