Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,282,597
16,294,606
17,270,598
18,279,602
19,254,589
20,261,591
21,253,589
22,262,592
23,249,583
24,249,585
25,245,577
26,238,565
27,236,569
28,230,564
29,231,565
30,231,564
31,232,570
32,230,565
33,224,572
34,223,561
35,220,555
36,220,563
37,217,552
38,210,550
39,212,547
40,207,544
41,205,540
42,204,547
43,205,523
44,207,538
45,199,531
46,195,526
47,199,527
48,194,524
49,197,527
50,188,514
51,192,516
52,192,514
53,190,520
54,186,524
55,186,520
56,188,520
57,183,522
58,182,526
59,179,515
60,180,516
61,169,516
62,176,526
63,175,526
64,176,527
65,179,525
66,172,523
67,171,510
68,174,515
69,173,512
70,168,505
71,168,506
72,172,503
73,169,499
74,166,500
75,167,503
76,164,503
77,160,495
78,167,489
79,159,490
80,157,483
81,152,486
82,158,488
83,153,487
84,156,481
85,155,491
86,157,485
87,147,486
88,153,482
89,151,481
90,147,479
91,152,483
92,152,476
93,154,485
94,150,481
95,146,478
96,154,483
97,143,471
98,147,471
99,141,478
100,145,478
101,146,475
102,146,473
103,146,480
104,142,474
105,137,469
106,140,468
107,143,468
108,140,473
109,138,483
110,140,490
111,143,498
112,141,500
113,140,503
114,137,497
115,139,508
116,139,506
117,138,502
118,142,509
119,142,512
120,139,500
121,143,497
122,135,492
123,136,491
124,139,492
125,133,479
126,138,487
127,136,482
128,134,476
129,130,472
130,132,475
131,128,459
132,133,467
133,129,464
134,126,460
135,130,464
136,126,461
137,126,456
138,127,466
139,127,463
140,126,466
141,118,451
142,128,464
143,120,449
144,122,461
145,124,450
146,122,459
147,122,461
148,127,462
149,118,457
150,118,462
151,122,471
152,123,464
153,127,467
154,119,455
155,123,470
156,119,463
157,122,464
158,122,465
159,119,472
160,123,475
161,120,477
162,120,482
163,122,486
164,120,480
165,124,471
166,123,476
167,119,480
168,123,478
169,125,485
170,119,472
171,123,489
172,122,487
173,119,482
174,122,485
175,117,474
176,123,485
177,116,476
178,120,479
179,124,481
180,126,468
181,121,475
182,118,468
183,124,477
184,116,459
185,118,462
186,117,461
187,117,458
188,116,454
189,117,450
190,115,453
191,113,454
192,106,452
193,112,454
194,115,454
195,110,450
196,107,456
197,110,448
198,103,445
199,112,448
200,111,450
201,111,447
202,111,448
203,110,442
204,110,436
205,104,441
206,108,435
207,113,441
208,101,433
209,107,427
210,107,433
211,110,430
212,110,437
213,97,434
214,101,427
215,108,435
216,109,424
217,97,432
218,104,438
219,99,428
220,104,427
221,102,428
222,101,429
223,100,433
224,102,430
225,103,440
226,103,433
227,106,437
228,103,431
229,105,439
230,100,430
231,102,433
232,100,436
233,106,437
234,107,433
235,98,424
236,93,428
237,104,428
238,97,424
239,94,430
240,99,426
241,103,421
242,93,422
243,100,424
244,102,425
245,100,421
246,103,428
247,99,421
248,96,416
249,96,418
250,99,417
251,95,414
252,99,413
253,91,413
254,97,412
255,93,405
256,96,418
257,97,413
258,95,412
259,94,412
260,91,409
261,94,409
262,94,412
263,91,405
264,92,416
265,95,409
266,93,406
267,90,409
268,87,411
269,91,407
270,91,410
271,91,400
272,93,411
273,93,407
274,92,415
275,89,421
276,89,415
277,92,416
278,93,424
279,89,414
280,94,418
281,91,418
282,92,433
283,92,444
284,89,444
285,96,460
286,91,458
287,94,460
288,99,453
289,98,452
290,96,455
291,95,448
292,93,443
293,98,446
294,95,444
295,93,445
296,89,443
297,97,441
298,97,445
299,91,439
300,97,448
301,93,445
302,95,450
303,93,453
304,93,468
305,95,472
306,93,488
307,99,486
308,101,494
309,97,495
310,103,497
311,99,504
312,103,492
313,100,499
314,103,497
315,101,493
316,100,487
317,100,481
318,101,478
319,102,475
320,100,469
321,100,467
322,103,475
323,100,470
324,97,457
325,96,463
326,98,468
327,101,460
328,99,456
329,98,455
330,88,450
331,99,456
332,98,458
333,95,457
334,93,466
335,98,456
336,96,454
337,90,448
338,95,456
339,91,457
340,96,459
341,96,457
342,86,452
343,91,446
344,93,458
345,89,453
346,90,462
347,86,442
348,91,451
349,90,445
