Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,0,400
16,0,400
17,5,412
18,0,400
19,3,400
20,0,405
21,2,402
22,0,400
23,8,400
24,9,401
25,2,402
26,3,400
27,5,407
28,2,406
29,3,405
30,6,413
31,6,420
32,7,406
33,5,404
34,7,408
35,7,409
36,6,400
37,5,401
38,5,400
39,0,405
40,5,400
41,0,400
42,3,404
43,3,401
44,0,400
45,1,407
46,0,401
47,4,400
48,4,404
49,7,401
50,3,400
51,3,408
52,8,415
53,6,422
54,7,437
55,10,439
56,12,447
57,16,444
58,13,437
59,9,430
60,11,433
61,10,429
62,7,419
63,6,411
64,6,410
65,9,412
66,5,407
67,3,410
68,10,413
69,4,411
70,11,412
71,7,412
72,6,410
73,5,412
74,7,407
75,7,413
76,8,420
77,8,415
78,10,419
79,7,417
80,3,404
81,6,401
82,2,400
83,11,406
84,7,410
85,7,406
86,11,408
87,13,407
88,8,405
89,6,407
90,7,404
91,7,406
92,8,412
93,9,415
94,5,412
95,8,416
96,7,433
97,12,432
98,13,427
99,13,435
Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,0,400
16,0,400
17,3,423
18,0,436
19,0,404
20,7,429
21,0,429
22,0,408
23,0,400
24,0,400
25,6,419
