Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,0,400
16,5,407
17,12,458
18,24,539
19,32,537
20,21,483
21,20,478
22,18,478
23,29,493
24,29,489
25,22,469
26,18,440
27,11,436
28,8,417
29,6,402
30,0,400
31,0,412
32,1,407
33,14,478
34,39,608
35,46,613
36,47,607
37,38,573
38,33,533
39,27,501
40,23,478
41,24,460
42,22,455
43,15,455
44,7,444
45,8,432
46,7,434
47,3,424
48,2,426
49,9,432
50,8,435
51,12,442
52,11,447
53,10,452
54,14,452
55,8,434
56,3,438
57,1,426
58,2,425
59,0,427
60,0,421
61,8,422
62,3,414
63,0,413
64,0,403
65,0,400
66,0,400
67,8,400
68,2,400
69,3,403
70,4,400
71,0,400
72,1,405
73,0,400
74,0,400
75,4,401
76,0,400
77,2,402
78,4,400
79,0,404
80,2,400
81,0,400
82,0,400
83,0,400
84,5,401
85,0,400
86,0,400
87,3,409
88,4,400
89,4,404
90,0,400
91,0,400
92,4,400
93,0,400
94,2,405
95,0,400
96,1,406
97,0,405
98,0,400
99,0,400
100,0,404
101,0,400
102,0,400
103,0,402
104,2,400
105,0,400
106,2,400
107,2,404
108,0,405
109,0,400
110,0,402
111,0,400
112,1,400
113,0,400
114,0,400
115,0,400
116,3,401
117,0,400
118,0,400
119,0,400
120,0,403
121,3,400
122,2,400
123,3,405
124,0,400
125,0,402
126,0,400
127,2,401
128,0,411
129,5,403
130,0,407
131,3,407
132,1,410
133,0,406
134,1,403
135,0,403
136,3,402
137,0,400
138,0,400
139,0,403
140,1,401
141,0,400
142,1,400
143,0,406
144,4,400
145,6,405
146,5,406
147,0,402
148,0,402
149,2,404
150,0,400
151,0,400
152,0,401
153,0,400
154,0,400
155,1,405
156,0,403
157,6,402
158,0,400
159,0,401
160,0,400
161,0,400
162,10,407
163,0,402
164,1,404
165,0,401
166,0,400
167,7,405
168,2,403
169,5,403
170,1,402
171,7,408
172,1,404
173,0,407
174,1,400
175,4,404
176,6,414
177,1,411
178,2,407
179,2,416
180,2,410
181,1,409
182,1,411
183,1,403
184,8,412
185,4,409
186,5,414
187,0,409
188,0,407
189,4,415
190,9,417
191,6,418
192,1,406
193,5,414
194,0,413
195,2,414
196,5,415
197,2,419
198,3,424
199,0,414
200,8,431
201,5,421
202,2,411
203,5,418
204,8,414
205,10,423
206,6,408
207,7,414
208,4,414
209,5,414
210,1,412
211,5,408
212,7,411
213,6,409
214,7,408
215,6,414
216,6,417
217,8,408
218,5,412
219,7,417
220,3,410
221,5,414
222,5,417
223,0,408
224,3,419
225,6,417
226,4,412
227,3,418
228,4,411
229,4,407
230,7,413
231,7,416
232,6,412
233,8,415
234,0,400
235,6,414
236,5,412
237,7,424
238,3,414
239,8,418
240,7,411
241,3,411
242,2,411
243,5,421
244,4,418
245,11,419
246,8,422
247,7,417
248,6,419
249,9,422
250,4,414
251,1,410
252,0,413
253,2,410
254,6,410
255,4,416
256,2,408
257,1,408
258,8,411
259,9,417
260,3,412
261,3,413
262,9,413
263,6,419
264,4,409
265,3,412
266,0,408
267,6,410
268,9,409
269,1,412
270,6,412
271,4,406
272,4,403
273,4,409
274,0,401
275,3,400
276,5,402
277,9,404
278,4,404
279,6,407
280,9,409
281,5,400
282,4,409
283,1,408
284,4,412
285,7,411
286,12,412
287,7,409
288,5,401
289,6,412
290,5,410
291,4,406
292,0,403
293,8,406
294,6,400
295,5,400
296,8,404
297,2,404
298,6,406
299,7,403
300,3,404
301,4,400
302,0,406
303,5,406
304,7,418
305,6,409
306,3,400
307,7,402
308,2,404
309,3,405
310,4,404
311,3,400
312,0,400
313,4,412
314,0,403
315,10,412
316,2,410
317,5,408
318,2,409
319,2,407
320,7,408
321,5,411
322,0,406
323,4,403
324,7,406
325,6,407
326,5,405
327,3,405
328,4,403
329,8,407
330,0,400
331,6,400
332,2,400
333,5,400
334,2,400
335,0,400
336,2,400
337,7,407
338,4,400
339,0,400
340,5,400
341,3,400
342,0,400
343,1,403
344,4,400
345,0,400
346,3,400
347,1,400
348,0,400
349,4,400
