Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,0,400
16,0,400
17,0,400
18,3,400
19,0,400
20,0,400
21,0,400
22,0,400
23,0,400
24,2,401
25,4,421
26,5,427
27,0,414
28,7,409
29,0,400
30,7,430
31,13,511
32,23,545
33,30,568
34,33,585
35,37,594
36,36,589
37,38,573
38,34,531
39,33,512
40,34,489
41,27,480
42,36,509
43,34,531
44,42,559
45,44,577
46,46,572
47,48,565
48,47,562
49,48,559
50,51,566
51,52,571
52,56,575
53,61,576
54,54,578
55,61,577
56,62,566
57,59,566
58,61,563
59,59,554
60,64,556
61,63,564
62,62,572
63,63,590
64,67,604
65,68,620
66,73,648
67,78,653
68,81,618
69,77,602
70,75,579
71,67,553
72,67,541
73,69,530
74,70,528
75,67,506
76,63,501
77,63,490
78,62,489
79,62,507
80,65,543
81,59,539
82,58,542
83,59,545
84,66,545
85,57,530
86,62,534
87,61,546
88,61,545
89,65,551
90,64,554
91,66,553
92,64,555
93,67,555
94,66,563
95,66,558
96,65,555
97,69,566
98,64,569
99,70,570
100,69,576
101,72,598
102,74,587
103,73,585
104,74,586
105,76,583
106,76,571
107,78,564
108,64,561
109,69,552
110,72,556
111,74,550
112,71,550
113,74,563
114,74,568
115,75,583
116,76,598
117,82,604
118,82,596
119,80,595
120,74,575
121,78,564
122,77,566
123,79,555
124,79,552
125,76,559
126,82,566
127,74,569
128,81,571
129,75,572
130,80,590
131,77,596
132,79,609
133,87,624
134,86,623
135,84,620
136,91,625
137,91,622
138,94,605
139,90,589
140,94,588
141,91,581
142,88,573
143,89,562
144,86,580
145,93,616
146,89,655
147,94,649
148,94,649
149,94,656
150,101,652
151,95,642
152,98,635
153,97,620
154,95,590
155,95,573
156,95,567
157,90,580
158,89,597
159,98,605
160,93,602
161,94,603
162,90,584
163,93,559
164,83,532
165,82,495
166,76,466
167,70,443
168,65,439
169,65,441
170,66,438
171,61,441
172,61,429
173,60,439
174,55,442
175,58,438
176,55,439
177,58,442
178,60,438
179,54,433
180,52,428
181,56,433
182,50,436
183,50,422
184,50,434
185,50,427
186,49,417
187,49,428
188,54,436
189,48,442
190,53,448
191,47,445
192,52,436
193,52,442
194,50,432
195,46,432
196,50,424
197,43,422
198,48,412
199,45,422
200,46,415
201,49,411
202,40,417
203,40,418
204,36,416
205,35,401
206,35,406
207,44,429
208,39,441
209,42,465
210,43,483
211,54,510
212,49,507
213,51,532
214,64,566
215,63,570
216,72,598
217,69,593
218,67,581
219,70,571
220,69,551
221,62,499
222,58,464
223,58,452
224,50,433
225,46,406
226,43,400
227,38,400
228,34,400
229,21,400
230,18,400
231,18,400
232,24,419
233,25,435
234,25,458
235,32,491
236,35,515
237,35,529
238,42,541
239,53,564
240,42,567
241,48,563
242,48,564
243,56,558
244,55,560
245,49,542
246,53,549
247,51,567
248,54,603
249,59,616
250,58,627
251,59,635
252,70,644
253,72,649
254,72,639
255,72,640
256,72,647
257,66,644
258,69,630
259,70,629
260,74,647
261,67,661
262,67,659
263,76,655
264,72,620
265,70,583
266,67,559
267,57,536
268,45,489
269,44,468
270,39,452
271,37,440
272,28,422
273,33,439
274,27,441
275,31,457
276,35,498
277,28,501
278,34,521
279,36,515
280,34,501
281,27,478
282,26,459
283,24,441
284,20,432
285,17,425
286,17,415
287,16,400
288,13,401
289,8,400
290,10,400
291,5,400
292,1,400
293,0,400
294,0,400
295,3,401
296,1,408
297,12,439
298,14,476
299,17,519
300,17,543
301,14,545
302,18,555
303,24,557
304,28,561
305,23,582
306,36,596
307,31,582
308,30,562
309,27,545
310,30,556
311,33,597
312,36,611
313,42,609
314,41,589
315,33,551
316,37,528
317,29,511
318,27,507
319,28,512
320,34,545
321,32,536
322,33,513
323,24,491
324,22,471
325,18,456
326,16,447
327,8,444
328,16,467
329,12,475
330,14,471
331,15,467
332,21,462
333,14,455
334,12,444
335,13,434
336,4,417
337,7,409
338,4,410
339,10,416
340,5,422
341,1,414
342,0,407
343,3,414
344,5,434
345,3,433
346,0,419
347,24,572
348,28,657
349,32,655
