Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,0,400
16,0,404
17,5,405
18,3,405
19,2,400
20,2,402
21,3,404
22,0,405
23,0,400
24,5,406
25,3,406
26,0,400
27,4,403
28,4,404
29,5,402
30,0,400
31,3,400
32,1,409
33,0,407
34,4,422
35,3,446
36,4,452
37,4,435
38,8,425
39,4,417
40,7,408
41,2,400
42,6,402
43,0,400
44,0,400
45,0,400
46,0,406
47,0,407
48,4,400
49,4,400
50,1,410
51,0,400
52,3,409
53,2,401
54,0,401
55,6,404
56,3,401
57,0,400
58,3,403
59,4,407
60,3,400
61,0,401
62,0,400
63,0,400
64,6,400
65,3,405
66,4,401
67,0,404
68,1,408
69,0,400
70,4,400
71,3,405
72,0,400
73,5,403
74,3,400
75,4,405
76,5,400
77,0,400
78,0,403
79,0,406
80,4,405
81,0,406
82,0,402
83,0,400
84,4,406
85,0,408
86,2,402
87,0,400
88,0,403
89,4,400
90,3,410
91,4,422
92,1,406
93,6,403
94,0,401
95,0,400
96,6,412
97,5,400
98,5,401
99,0,404
